,Grad,Rbr BM,Naziv BM,Lokacija BM,Adresa BM,Ukupno birača,Glasovalo ukupno,MOST,MOŽEMO,DP,HDZ,SDP,BM
740,SLUNJ,4,BIRACKO MJESTO BR 4,MJESNI DOM U TABORISTU,DONJE TABORISTE 149 A SLUNJ,467,260,29,,,137,62,4 BIRACKO MJESTO BR 4 SLUNJ
741,TOUNJ,4,BIRACKO MJESTO BR 4,OBJEKT BOCARA,BRLETICI BB TOUNJ,155,55,3,,,26,13,4 BIRACKO MJESTO BR 4 TOUNJ
742,VINODOLSKA OPCINA,4,BIRACKO MJESTO BR 4,PROSTORIJE DOM KULTURE TRIBALJ,TRIBALJ TRIBALJ BB VINODOLSKA OPCINA,584,282,18,,,97,107,4 BIRACKO MJESTO BR 4 VINODOLSKA OPCINA
743,VOJNIC,4,BIRACKO MJESTO BR 4,VOJISNICA KUCA DRAGAN VUKOBRATOVIC MERGED HETERO,VOJISNICA 99A VOJNIC,286,178,13,,,68,72,BIRACKO MJESTO BR 4VOJNIC MERGED HETERO
744,VRBOVSKO,4,BIRACKO MJESTO BR 4,PROSTORIJE OSNOVNE SKOLE IVANA GORANA KOVACICA U VRBOVSKOM,VRBOVSKO KRALJA TOMISLAVA 18 VRBOVSKO,656,374,25,,,150,131,4 BIRACKO MJESTO BR 4 VRBOVSKO
745,KLINCA SELA,4,BIRACKO MJESTO BR 4 DONJA ZDENCINA I,DOM DVD,DONJA ZDENCINA KLINCA SELA,297,131,11,,,51,45,4 BIRACKO MJESTO BR 4 DONJA ZDENCINA I KLINCA SELA
746,PODBABLJE,4,BIRACKO MJESTO BR 4 IVANBEGOVINA,MJESNI ODBOR IVANBEGOVINA PODRUCNA SKOLA IVANBEGOVINA,IVANBEGOVINA PODBABLJE,228,162,13,,,141,2,4 BIRACKO MJESTO BR 4 IVANBEGOVINA PODBABLJE
747,LECEVICA,4,BIRACKO MJESTO BR 4 RADOSIC,MJESNI ODBOR RADOSIC,RADOSIC ULICA ANTE KUZICA 142 LECEVICA,153,74,7,,,54,7,4 BIRACKO MJESTO BR 4 RADOSIC LECEVICA
748,SEGET,4,BIRACKO MJESTO BR 4 U BRISTIVICI,PODRUCNA SKOLA KRALJ ZVONIMIR,BRISTIVICA SEGET,300,188,13,,,158,11,4 BIRACKO MJESTO BR 4 U BRISTIVICI SEGET
749,CABAR,4,BIRACKO MJESTO BR 4 U GEROVU,ZGRADA OSNOVNE SKOLE U GEROVU,ZAGREBACKA 2 GEROVO CABAR,945,441,32,,,103,207,4 BIRACKO MJESTO BR 4 U GEROVU CABAR
750,KARLOVAC,40,BIRACKO MJESTO BR 40,PROSTORIJE GC JAMADOLLUSCIC MERGED HETERO,MEDOVICEVA 5 C KARLOVAC,1143,713,44,,,222,317,BIRACKO MJESTO BR 40KARLOVAC MERGED HETERO
751,KARLOVAC,41,BIRACKO MJESTO BR 41,SPORTSKA STRELJANA,JAMADOLSKA 2 A KARLOVAC,833,509,31,,,195,192,41 BIRACKO MJESTO BR 41 KARLOVAC
752,KARLOVAC,42,BIRACKO MJESTO BR 42,MO LADVENJAKDOM SELISCE,LADVENJAK 56 B KARLOVAC,163,108,6,,,82,5,42 BIRACKO MJESTO BR 42 KARLOVAC
753,KARLOVAC,43,BIRACKO MJESTO BR 43,DRUSTVENI DOM LADVENJAK,LADVENJAK 101 B KARLOVAC,177,86,7,,,44,25,43 BIRACKO MJESTO BR 43 KARLOVAC
754,KARLOVAC,44,BIRACKO MJESTO BR 44,OSNOVNA SKOLA TUSILOVIC,TUSILOVIC 58 KARLOVAC,654,301,7,,,190,66,44 BIRACKO MJESTO BR 44 KARLOVAC
755,KARLOVAC,45,BIRACKO MJESTO BR 45,PROSTORIJE GRADSKE CETVRTI MOSTANJE,MOSTANJE 94 KARLOVAC,475,268,30,,,92,99,45 BIRACKO MJESTO BR 45 KARLOVAC
756,KARLOVAC,46,BIRACKO MJESTO BR 46,PROSTORIJE GRADSKE CETVRTI MOSTANJEKUDA MOSTANJE,MOSTANJE 94 KARLOVAC,517,347,17,,,147,135,46 BIRACKO MJESTO BR 46 KARLOVAC
757,KARLOVAC,47,BIRACKO MJESTO BR 47,PRIVATNA KUCA ZELJKA STAVLJENICA,JELASI 74 KARLOVAC,353,182,13,,,105,34,47 BIRACKO MJESTO BR 47 KARLOVAC
758,KARLOVAC,48,BIRACKO MJESTO BR 48,DRUSTVENI DOM TURANJSKI GOLJAKI,TURANJSKI GOLJAKI KARLOVAC,256,122,7,,,64,23,48 BIRACKO MJESTO BR 48 KARLOVAC
759,KARLOVAC,49,BIRACKO MJESTO BR 49,DRUSTVENI DOM ZASTINJA,ZASTINJA 11 KARLOVAC,134,78,3,,,33,25,49 BIRACKO MJESTO BR 49 KARLOVAC
760,BARILOVIC,5,BIRACKO MJESTO BR 5,KUCA KARAMARKOVIC MILOVAN,KOSIJERSKO SELO 41 BARILOVIC,51,25,0,,,4,21,5 BIRACKO MJESTO BR 5 BARILOVIC
761,CETINGRAD,5,BIRACKO MJESTO BR 5,KUCA MIRKA SAMARDZIJE,PASIN POTOK 172 CETINGRAD,312,145,2,,,105,19,5 BIRACKO MJESTO BR 5 CETINGRAD
762,DELNICE,5,BIRACKO MJESTO BR 5,ZGRADA SUMARIJE DELNICE,DELNICE PETRA KRESIMIRA IV 53 DELNICE,1301,633,36,,,150,262,5 BIRACKO MJESTO BR 5 DELNICE
763,DUGA RESA,5,BIRACKO MJESTO BR 5,DOM SPORTOVA,BANA JOSIPA JELACICA 41 DUGA RESA,413,255,15,,,91,91,5 BIRACKO MJESTO BR 5 DUGA RESA
764,GENERALSKI STOL,5,BIRACKO MJESTO BR 5,DOM GORNJI ZVECAJ,GORNJI ZVECAJ GENERALSKI STOL,177,87,12,,,40,21,5 BIRACKO MJESTO BR 5 GENERALSKI STOL
765,JOSIPDOL,5,BIRACKO MJESTO BR 5,ZGRADA SKOLE U CEROVNIKU,CEROVNIK BB JOSIPDOL,138,84,8,,,48,12,5 BIRACKO MJESTO BR 5 JOSIPDOL
766,KARLOVAC,5,BIRACKO MJESTO BR 5,VELEUCILISTE KARLOVAC,MESTROVICEVA 10 KARLOVAC,1460,954,62,,,318,408,5 BIRACKO MJESTO BR 5 KARLOVAC
767,KRNJAK,5,BIRACKO MJESTO BR 5,KUCA MARKOVIC JOVANKE CATRNJA 27 MERGED HETERO,CATRNJA KRNJAK,72,36,1,,,0,31,BIRACKO MJESTO BR 5KRNJAK MERGED HETERO
768,LASINJA,5,BIRACKO MJESTO BR 5,ZGRADA BIVSE PODRUCNE SKOLE,BANSKI KOVACEVAC BB LASINJA,139,57,0,,,50,1,5 BIRACKO MJESTO BR 5 LASINJA
769,MAKARSKA,5,BIRACKO MJESTO BR 5,VATROGASNI DOM,POTOK BROJ 2 MAKARSKA,1978,911,97,,,399,319,5 BIRACKO MJESTO BR 5 MAKARSKA
770,NETRETIC,5,BIRACKO MJESTO BR 5,KUCA ROZIC PEPE,LONCAR BRDO 3 NETRETIC,53,28,2,,,13,4,5 BIRACKO MJESTO BR 5 NETRETIC
771,NOVI VINODOLSKI,5,BIRACKO MJESTO BR 5,PROSTORIJE DOMA KULTURE LEDENICE MERGED HETERO,LEDENICE NOVI VINODOLSKI,161,117,18,,,69,22,BIRACKO MJESTO BR 5NOVI VINODOLSKI MERGED HETERO
772,OGULIN,5,BIRACKO MJESTO BR 5,PODRUCNA SKOLA PONIKVE,PONIKVE 21 OGULIN,17,13,0,,,0,11,5 BIRACKO MJESTO BR 5 OGULIN
773,RAKOVICA,5,BIRACKO MJESTO BR 5,KUCA OLGE BORIC GRABOVAC MERGED HETERO,GRABOVAC 269 RAKOVICA,242,118,13,,,48,41,BIRACKO MJESTO BR 5RAKOVICA MERGED HETERO
774,RAVNA GORA,5,BIRACKO MJESTO BR 5,VATROGASNI DOM KUPJAK,KUPJAK KUPJAK 86 RAVNA GORA,217,109,9,,,41,41,5 BIRACKO MJESTO BR 5 RAVNA GORA
775,SLUNJ,5,BIRACKO MJESTO BR 5,OSNOVNA SKOLA U NIKSICU MERGED HETERO,DONJI NIKSIC 1 SLUNJ,434,209,11,,,134,25,BIRACKO MJESTO BR 5SLUNJ MERGED HETERO
776,VINODOLSKA OPCINA,5,BIRACKO MJESTO BR 5,PROSTORIJE DOM KULTURE DRIVENIK,DRIVENIK DRIVENIK 6 VINODOLSKA OPCINA,276,145,8,,,51,59,5 BIRACKO MJESTO BR 5 VINODOLSKA OPCINA
777,VOJNIC,5,BIRACKO MJESTO BR 5,RADONJA KUCA PAJIC NENADA,GORNJI VOJNIC 26 VOJNIC,236,150,5,,,62,68,5 BIRACKO MJESTO BR 5 VOJNIC
778,VRBOVSKO,5,BIRACKO MJESTO BR 5,VATROGASNI DOM BLAZEVCI,BLAZEVCI VRBOVSKO,115,58,0,,,38,8,5 BIRACKO MJESTO BR 5 VRBOVSKO
779,KLINCA SELA,5,BIRACKO MJESTO BR 5 DONJA ZDENCINA II,SLUZBENE PROSTORIJE MO DONJA ZDENCINA U SKLOPU PROSTORA NK ZDENCINA,DONJA ZDENCINA VLADIMIRA NAZORA 41 KLINCA SELA,519,319,29,,,106,121,5 BIRACKO MJESTO BR 5 DONJA ZDENCINA II KLINCA SELA
780,PODBABLJE,5,BIRACKO MJESTO BR 5 HRSCEVANI,MJESNI ODBOR HRSCEVANI PODRUCNA SKOLA HRSCEVANI,HRSCEVANI PODBABLJE,340,231,24,,,186,9,5 BIRACKO MJESTO BR 5 HRSCEVANI PODBABLJE
781,CABAR,5,BIRACKO MJESTO BR 5 U PLESCIMA,ZGRADA DRUSTVENOG DOMA U PLESCIMA,ANTUNA MUHVICA 1 PLESCE CABAR,274,142,4,,,41,54,5 BIRACKO MJESTO BR 5 U PLESCIMA CABAR
782,SEGET,5,BIRACKO MJESTO BR 5 U SEGET VRANJICI,PODRUCNA SKOLA KRALJ ZVONIMIR,SEGET VRANJICA SEGET,1040,550,55,,,294,143,5 BIRACKO MJESTO BR 5 U SEGET VRANJICI SEGET
783,KARLOVAC,50,BIRACKO MJESTO BR 50,PROSTORIJE GC TURANJ,BRACE GOJAK 4 KARLOVAC,1101,623,50,,,293,176,50 BIRACKO MJESTO BR 50 KARLOVAC
784,KARLOVAC,51,BIRACKO MJESTO BR 51,PROSTORIJE GC TURANJPROSTORIJA SAJEVAC,BRACE GOJAK 111 KARLOVAC,463,213,9,,,123,34,51 BIRACKO MJESTO BR 51 KARLOVAC
785,KARLOVAC,52,BIRACKO MJESTO BR 52,PROSTORIJE MO KAMENSKODOM DVD MERGED HETERO,KAMENSKO 73 B KARLOVAC,409,209,5,,,114,51,BIRACKO MJESTO BR 52KARLOVAC MERGED HETERO
786,KARLOVAC,53,BIRACKO MJESTO BR 53,PROSTORIJE MO GORNJE MEKUSJE,MEKUSANSKA CESTA 63 KARLOVAC,407,256,14,,,113,95,53 BIRACKO MJESTO BR 53 KARLOVAC
787,KARLOVAC,54,BIRACKO MJESTO BR 54,DRUSTVENI DOM CEROVAC VUKMANICKI MERGED HETERO,CEROVAC VUKMANICKI 58 KARLOVAC,730,347,16,,,210,64,BIRACKO MJESTO BR 54KARLOVAC MERGED HETERO
788,KARLOVAC,55,BIRACKO MJESTO BR 55,PROSTORIJE MO VUKMANIC,VUKMANIC 88 KARLOVAC,193,143,5,,,117,5,55 BIRACKO MJESTO BR 55 KARLOVAC
789,KARLOVAC,56,BIRACKO MJESTO BR 56,PROSTORIJE MO POPOVIC BRDO MERGED HETERO,POPOVIC BRDO 30 B KARLOVAC,184,103,12,,,51,30,BIRACKO MJESTO BR 56KARLOVAC MERGED HETERO
790,KARLOVAC,57,BIRACKO MJESTO BR 57,PRIVATNA KUCA LJUBE GUBIC MERGED HETERO,GORNJA TREBINJA 76 A KARLOVAC,81,58,0,,,18,31,BIRACKO MJESTO BR 57KARLOVAC MERGED HETERO
791,KARLOVAC,58,BIRACKO MJESTO BR 58,PROSTORIJE MO KABLAR,KABLAR 12 KARLOVAC,161,99,4,,,69,11,58 BIRACKO MJESTO BR 58 KARLOVAC
792,KARLOVAC,59,BIRACKO MJESTO BR 59,PRIVATNA KUCA ANDRIJE KLOBUCARA,SLUNJSKA SELNICA 51 KARLOVAC,73,46,0,,,30,5,59 BIRACKO MJESTO BR 59 KARLOVAC
793,BARILOVIC,6,BIRACKO MJESTO BR 6,KORANSKI BRIJEG BIVSA MLJEKARA,KORANSKI BRIJEG BARILOVIC,58,32,2,,,16,9,6 BIRACKO MJESTO BR 6 BARILOVIC
794,DELNICE,6,BIRACKO MJESTO BR 6,ZGRADA OSNOVNE SKOLE FKFRANKOPANA BROD NA KUPI,BROD NA KUPI KRALJA TOMISLAVA 17 A DELNICE,362,146,13,,,43,52,6 BIRACKO MJESTO BR 6 DELNICE
795,DUGA RESA,6,BIRACKO MJESTO BR 6,OS IVAN GORAN KOVACIC,BANA JOSIPA JELACICA 8 DUGA RESA,576,319,19,,,124,118,6 BIRACKO MJESTO BR 6 DUGA RESA
796,GENERALSKI STOL,6,BIRACKO MJESTO BR 6,SKOLA GORINCI,GORINCI GENERALSKI STOL,253,124,11,,,82,10,6 BIRACKO MJESTO BR 6 GENERALSKI STOL
797,JOSIPDOL,6,BIRACKO MJESTO BR 6,ZGRADA SKOLE,MUNJAVA MODRUSKA BB JOSIPDOL,51,34,3,,,23,5,6 BIRACKO MJESTO BR 6 JOSIPDOL
798,KARLOVAC,6,BIRACKO MJESTO BR 6,OSNOVNA SKOLA GRABRIK,BARTOLA KASICA 15 KARLOVAC,1172,732,37,,,205,371,6 BIRACKO MJESTO BR 6 KARLOVAC
799,LASINJA,6,BIRACKO MJESTO BR 6,ZGRADA BIVSE PODRUCNE SKOLE,PRKOS LASINJSKI BB LASINJA,30,20,1,,,2,15,6 BIRACKO MJESTO BR 6 LASINJA
800,MAKARSKA,6,BIRACKO MJESTO BR 6,SREDNJA SKOLA FRA AK MIOSICA,Z FRANKOPANSKA BB SOBA BR I MAKARSKA,1631,782,48,,,353,294,6 BIRACKO MJESTO BR 6 MAKARSKA
801,NETRETIC,6,BIRACKO MJESTO BR 6,VATROGASNI DOM KUNICI,KUNICI NETRETIC,84,44,0,,,18,14,6 BIRACKO MJESTO BR 6 NETRETIC
802,NOVI VINODOLSKI,6,BIRACKO MJESTO BR 6,PROSTORIJE DOMA KULTURE BATER MERGED HETERO,BATER BB NOVI VINODOLSKI,104,81,1,,,46,28,BIRACKO MJESTO BR 6NOVI VINODOLSKI MERGED HETERO
803,OGULIN,6,BIRACKO MJESTO BR 6,PODRUCNA SKOLA HRELJIN OGULINSKI,HRELJIN OGULINSKI 3 OGULIN,313,178,8,,,103,33,6 BIRACKO MJESTO BR 6 OGULIN
804,SLUNJ,6,BIRACKO MJESTO BR 6,VATROGASNI DOM CVITOVIC MERGED HETERO,CVITOVIC 100 SLUNJ,386,173,9,,,106,35,BIRACKO MJESTO BR 6SLUNJ MERGED HETERO
805,VOJNIC,6,BIRACKO MJESTO BR 6,VOJNIC DOM KULTURE VOJNIC,A HEBRANGA 2 VOJNIC,753,425,17,,,217,108,6 BIRACKO MJESTO BR 6 VOJNIC
806,VRBOVSKO,6,BIRACKO MJESTO BR 6,DOM KULTURE LUKOVDOL,LUKOVDOL VRBOVSKO,242,112,8,,,65,23,6 BIRACKO MJESTO BR 6 VRBOVSKO
807,KLINCA SELA,6,BIRACKO MJESTO BR 6 GOLI VRH,DOM DVD GOLI VRH MERGED HETERO,GOLI VRH KLINCA SELA,220,122,11,,,43,40,BIRACKO MJESTO BR 6 GOLI VRHKLINCA SELA MERGED HETERO
808,PODBABLJE,6,BIRACKO MJESTO BR 6 KAMENMOST,MJESNI ODBOR KAMENMOST PODRUCNA SKOLA KAMENMOST,KAMENMOST PODBABLJE,353,214,20,,,142,41,6 BIRACKO MJESTO BR 6 KAMENMOST PODBABLJE
809,SEGET,6,BIRACKO MJESTO BR 6 SEGETU DONJEM,ZGRADA OPCINE SEGET DOM BANA JOSIPA JELACICA,TRG HRV VITEZA SPIRA SEVE FRZELINA 1 SEGET,816,439,36,,,271,99,6 BIRACKO MJESTO BR 6 SEGETU DONJEM SEGET
810,KARLOVAC,60,BIRACKO MJESTO BR 60,PRIVATNA KUCA VLADE BUKOVCA MERGED HETERO,BANSKA SELNICA 46 KARLOVAC,80,40,1,,,33,4,BIRACKO MJESTO BR 60KARLOVAC MERGED HETERO
811,KARLOVAC,61,BIRACKO MJESTO BR 61,PROSTORIJE OSNOVNE SKOLE SKAKAVAC,SKAKAVAC 44 KARLOVAC,256,115,6,,,68,26,61 BIRACKO MJESTO BR 61 KARLOVAC
812,KARLOVAC,62,BIRACKO MJESTO BR 62,PRIVATNA KUCA MATE JOHA,SLUNJSKI MORAVCI 3 KARLOVAC,62,34,2,,,13,18,62 BIRACKO MJESTO BR 62 KARLOVAC
813,KARLOVAC,63,BIRACKO MJESTO BR 63,DRUSTVENI DOM MERGED HETERO,GORNJI SJENICAK 260 KARLOVAC,58,17,0,,,8,7,BIRACKO MJESTO BR 63KARLOVAC MERGED HETERO
814,KARLOVAC,64,BIRACKO MJESTO BR 64,TRGOVINA TIBICEN,UTINJA 3 A KARLOVAC,52,29,1,,,9,18,64 BIRACKO MJESTO BR 64 KARLOVAC
815,KARLOVAC,65,BIRACKO MJESTO BR 65,STARA SKOLA DUBOVAC,DUBOVAC 8 KARLOVAC,343,185,9,,,76,54,65 BIRACKO MJESTO BR 65 KARLOVAC
816,KARLOVAC,66,BIRACKO MJESTO BR 66,PROSTORIJE GC DUBOVAC,DUBOVAC 11 KARLOVAC,820,503,31,,,156,201,66 BIRACKO MJESTO BR 66 KARLOVAC
817,KARLOVAC,67,BIRACKO MJESTO BR 67,OSNOVNA SKOLA DUBOVAC,PRIMORSKA 9 KARLOVAC,496,272,25,,,97,106,67 BIRACKO MJESTO BR 67 KARLOVAC
818,KARLOVAC,68,BIRACKO MJESTO BR 68,PROSTORIJE MJESNOG ODBORA BORLIN,VBOGOVICA 17 KARLOVAC,1288,789,63,,,323,240,68 BIRACKO MJESTO BR 68 KARLOVAC
819,KARLOVAC,69,BIRACKO MJESTO BR 69,PROSTORIJE MO ZAGRADKALVARIJAVUCJAK,KALVARIJA 7 B KARLOVAC,673,392,34,,,168,121,69 BIRACKO MJESTO BR 69 KARLOVAC
820,BARILOVIC,7,BIRACKO MJESTO BR 7,SKOLA U BARILOVICKOM LESKOVCU MERGED HETERO,BARILOVICKI LESKOVAC BARILOVIC,183,120,2,,,81,27,BIRACKO MJESTO BR 7BARILOVIC MERGED HETERO
821,DELNICE,7,BIRACKO MJESTO BR 7,ZGRADA OSNOVNE SKOLE TURKE,TURKE TURKE 19 DELNICE,151,53,2,,,14,20,7 BIRACKO MJESTO BR 7 DELNICE
822,DUGA RESA,7,BIRACKO MJESTO BR 7,POSLOVNI PROSTOR MREZNICA DD,TRG KRALJA TOMISLAVA 2 DUGA RESA,470,297,40,,,82,120,7 BIRACKO MJESTO BR 7 DUGA RESA
823,GENERALSKI STOL,7,BIRACKO MJESTO BR 7,SKOLA BREST,MREZNICKI BREST GENERALSKI STOL,194,59,1,,,44,9,7 BIRACKO MJESTO BR 7 GENERALSKI STOL
824,JOSIPDOL,7,BIRACKO MJESTO BR 7,PRIVATNA KUCA VLASNISTVO IVICE JAGNJICA MERGED HETERO,MODRUSKI SABLJAKI 40 JOSIPDOL,40,13,0,,,9,0,BIRACKO MJESTO BR 7JOSIPDOL MERGED HETERO
825,KARLOVAC,7,BIRACKO MJESTO BR 7,OSNOVNA SKOLA GRABRIK,BARTOLA KASICA 15 KARLOVAC,1100,690,33,,,239,298,7 BIRACKO MJESTO BR 7 KARLOVAC
826,LASINJA,7,BIRACKO MJESTO BR 7,ZGRADA DRUSTVENOG DOMA,DESNI STEFANKI BB LASINJA,224,108,6,,,72,17,7 BIRACKO MJESTO BR 7 LASINJA
827,NETRETIC,7,BIRACKO MJESTO BR 7,VATROGASNI DOM PRILISCE,PRILISCE NETRETIC,189,110,5,,,39,37,7 BIRACKO MJESTO BR 7 NETRETIC
828,NOVI VINODOLSKI,7,BIRACKO MJESTO BR 7,PROSTORIJE VATROGASNOG DOMA NOVI VINODOLSKI MERGED HETERO,NOVI VINODOLSKI VATROGASNA 2 NOVI VINODOLSKI,474,254,9,,,103,91,BIRACKO MJESTO BR 7NOVI VINODOLSKI MERGED HETERO
829,OGULIN,7,BIRACKO MJESTO BR 7,DOM SV PETAR,SV PETAR BB OGULIN,872,412,53,,,224,84,7 BIRACKO MJESTO BR 7 OGULIN
830,SLUNJ,7,BIRACKO MJESTO BR 7,OSNOVNA SKOLA KREMEN,KREMEN BB SLUNJ,366,165,5,,,111,29,7 BIRACKO MJESTO BR 7 SLUNJ
831,VOJNIC,7,BIRACKO MJESTO BR 7,KUPLJENSKO KUCA NAPIJALO MILANA,KUPLJENSKO 108 VOJNIC,163,100,1,,,46,44,7 BIRACKO MJESTO BR 7 VOJNIC
832,VRBOVSKO,7,BIRACKO MJESTO BR 7,PODRUCNA SKOLA U SEVERINU NA KUPI MERGED HETERO,SEVERIN NA KUPI 8 VRBOVSKO,407,211,24,,,93,58,BIRACKO MJESTO BR 7VRBOVSKO MERGED HETERO
833,PODBABLJE,7,BIRACKO MJESTO BR 7 DRUM,MJESNI ODBOR DRUM PODRUCNA SKOLA DRUM,DRUM PODBABLJE,570,362,53,,,258,24,7 BIRACKO MJESTO BR 7 DRUM PODBABLJE
834,KLINCA SELA,7,BIRACKO MJESTO BR 7 GORNJA ZDENCINA,DOM DVD,GORNJA ZDENCINA KLINCA SELA,132,60,2,,,26,17,7 BIRACKO MJESTO BR 7 GORNJA ZDENCINA KLINCA SELA
835,SEGET,7,BIRACKO MJESTO BR 7 U SEGETU DONJEM,ZGRADA OPCINE SEGET DOM BANA JOSIPA JELACICA,TRG HRVATSKOG VITEZA SPIRA SEVE FRZELINA 1 SEGET,889,547,61,,,256,178,7 BIRACKO MJESTO BR 7 U SEGETU DONJEM SEGET
836,KARLOVAC,70,BIRACKO MJESTO BR 70,PROSTORIJE MO VELIKA JELSA,DONJA JELSA 186 KARLOVAC,1480,863,66,,,312,277,70 BIRACKO MJESTO BR 70 KARLOVAC
837,KARLOVAC,71,BIRACKO MJESTO BR 71,PROSTORIJE MO MALA JELSA,MALA JELSA 9 A KARLOVAC,283,189,10,,,90,55,71 BIRACKO MJESTO BR 71 KARLOVAC
838,KARLOVAC,72,BIRACKO MJESTO BR 72,OSNOVNA SKOLA ZADOBARJE,ZADOBARJE KARLOVAC,310,177,7,,,93,40,72 BIRACKO MJESTO BR 72 KARLOVAC
839,KARLOVAC,73,BIRACKO MJESTO BR 73,PROSTORIJE MO GORNJE STATIVE,GORNJE STATIVE 1 A KARLOVAC,356,198,12,,,92,50,73 BIRACKO MJESTO BR 73 KARLOVAC
840,KARLOVAC,74,BIRACKO MJESTO BR 74,OSNOVNA SKOLA BRACE SELJAN,DOMOBRANSKA 2 KARLOVAC,567,325,22,,,73,166,74 BIRACKO MJESTO BR 74 KARLOVAC
841,KARLOVAC,75,BIRACKO MJESTO BR 75,OSNOVNA SKOLA BRACA SELJAN,DOMOBRANSKA 2 KARLOVAC,827,500,37,,,178,192,75 BIRACKO MJESTO BR 75 KARLOVAC
842,KARLOVAC,76,BIRACKO MJESTO BR 76,PROSTORIJE GC ZVIJEZDA,GUNDULICEVA 8 KARLOVAC,449,244,7,,,65,129,76 BIRACKO MJESTO BR 76 KARLOVAC
843,KARLOVAC,77,BIRACKO MJESTO BR 77,OSNOVNA SKOLA BANIJA,DRGAJE PETROVICA 5 KARLOVAC,405,223,14,,,85,82,77 BIRACKO MJESTO BR 77 KARLOVAC
844,KARLOVAC,78,BIRACKO MJESTO BR 78,PROSTORIJE GC BANIJA,ASTARCEVICA 20 KARLOVAC,295,187,10,,,69,64,78 BIRACKO MJESTO BR 78 KARLOVAC
845,KARLOVAC,79,BIRACKO MJESTO BR 79,OSNOVNA SKOLA BANIJA,DRGAJE PETROVICA 5 KARLOVAC,607,335,22,,,136,112,79 BIRACKO MJESTO BR 79 KARLOVAC
846,BARILOVIC,8,BIRACKO MJESTO BR 8,PROSTORIJE MJESNOG ODBORA,SCULAC BB BARILOVIC,123,66,5,,,37,7,8 BIRACKO MJESTO BR 8 BARILOVIC
847,DUGA RESA,8,BIRACKO MJESTO BR 8,KUCA IVANA GAJSKI MERGED HETERO,NIKOLE TESLE 4 DUGA RESA,315,175,19,,,62,60,BIRACKO MJESTO BR 8DUGA RESA MERGED HETERO
848,GENERALSKI STOL,8,BIRACKO MJESTO BR 8,SKOLA LIPOV PESAK,LIPOV PESAK GENERALSKI STOL,251,120,5,,,57,41,8 BIRACKO MJESTO BR 8 GENERALSKI STOL
849,JOSIPDOL,8,BIRACKO MJESTO BR 8,ZGRADA SKOLE U VOJNOVCU MERGED HETERO,VOJNOVAC BB JOSIPDOL,101,66,2,,,37,17,BIRACKO MJESTO BR 8JOSIPDOL MERGED HETERO
850,KARLOVAC,8,BIRACKO MJESTO BR 8,OSNOVNA SKOLA GRABRIK,BARTOLA KASICA 15 KARLOVAC,1266,737,42,,,264,302,8 BIRACKO MJESTO BR 8 KARLOVAC
851,MAKARSKA,8,BIRACKO MJESTO BR 8,OS PETRA PERICE MAKARSKA,ZELENKA BB SOBA BR II MAKARSKA,1782,853,105,,,491,170,8 BIRACKO MJESTO BR 8 MAKARSKA
852,NETRETIC,8,BIRACKO MJESTO BR 8,DOM KULTURE VUKOVA GORICA,VUKOVA GORICA NETRETIC,57,32,1,,,9,18,8 BIRACKO MJESTO BR 8 NETRETIC
853,NOVI VINODOLSKI,8,BIRACKO MJESTO BR 8,PROSTORIJE MALE SALE DOMA KULTURE MERGED HETERO,NOVI VINODOLSKI KORZO HRVATSKIH BRANITELJA 1 NOVI VINODOLSKI,688,417,21,,,197,142,BIRACKO MJESTO BR 8NOVI VINODOLSKI MERGED HETERO
854,OGULIN,8,BIRACKO MJESTO BR 8,DOM TURKOVICI MERGED HETERO,TURKOVICI 21 OGULIN,204,112,12,,,63,26,BIRACKO MJESTO BR 8OGULIN MERGED HETERO
855,SLUNJ,8,BIRACKO MJESTO BR 8,MJESNI DOM U LUMBARDENIKU MERGED HETERO,LUMBARDENIK 76 C SLUNJ,257,131,11,,,80,22,BIRACKO MJESTO BR 8SLUNJ MERGED HETERO
856,VOJNIC,8,BIRACKO MJESTO BR 8,KRSTINJA ZGRADA POLJOPRIVREDNE ZADRUGE,KRSTINJA BB VOJNIC,104,39,1,,,2,26,8 BIRACKO MJESTO BR 8 VOJNIC
857,VRBOVSKO,8,BIRACKO MJESTO BR 8,PODRUCNA SKOLA VELIKI JADRC,VELIKI JADRC VRBOVSKO,176,87,3,,,52,15,8 BIRACKO MJESTO BR 8 VRBOVSKO
858,KLINCA SELA,8,BIRACKO MJESTO BR 8 KLINCA SELA I,DRUSTVENI DOM,KLINCA SELA KLINCA SELA,954,501,49,,,201,143,8 BIRACKO MJESTO BR 8 KLINCA SELA I KLINCA SELA
859,SEGET,8,BIRACKO MJESTO BR 8 U SEGETU DONJEM,ZGRADA OPCINE SEGET DOM BANA JOSIPA JELACICA,TRG HRVATSKOG VITEZA SPIRO SEVO FRZELIN 1 SEGET,644,335,34,,,187,84,8 BIRACKO MJESTO BR 8 U SEGETU DONJEM SEGET
860,KARLOVAC,80,BIRACKO MJESTO BR 80,PROSTORIJE GC BANIJA,ASTARCEVICA 20 KARLOVAC,415,223,15,,,66,86,80 BIRACKO MJESTO BR 80 KARLOVAC
861,KARLOVAC,81,BIRACKO MJESTO BR 81,OSNOVNA SKOLA BANIJA PREDVORJE LIJEVO,DRGAJE PETROVICA 5 KARLOVAC,347,164,7,,,65,53,81 BIRACKO MJESTO BR 81 KARLOVAC
